10 13619
5 31 30
1 8 45
4 40 37
1 8 2
7 17 28
7 48 1
1 5 66
8 6 40
7 2 96
8 66 54
8 45 31
4 61 49
8 27 24
8 27 35
3 15 25
3 23 62
8 71 65
2 9 50
7 37 30
5 38 67
8 37 76
7 89 70
10 34 19
3 24 26
4 12 37
4 43 66
7 3 59
7 66 96
7 74 49
3 5 61
2 7 32
7 76 25
6 23 13
10 14 29
2 30 41
7 19 28
8 32 71
3 4 18
8 43 56
5 54 46
1 35 29
4 47 43
5 64 25
5 9 26
6 41 33
4 46 41
4 30 12
1 32 43
8 4 19
2 26 53
6 33 17
4 20 47
10 38 43
7 61 11
3 14 28
7 88 13
7 39 66
7 63 30
4 12 51
8 36 4
8 72 18
4 46 63
3 17 20
7 83 87
8 22 34
5 61 28
10 35 45
4 4 23
8 66 80
4 21 68
5 22 3
7 39 13
7 60 47
4 49 23
2 29 50
4 50 34
2 25 56
8 50 8
8 10 9
5 47 39
4 48 33
10 26 21
7 27 39
5 63 50
10 43 13
6 28 29
8 81 80
4 2 53
8 1 45
7 43 76
1 29 41
8 18 3
8 76 58
7 83 28
4 4 39
5 54 54
1 50 36
3 16 9
7 8 31
4 14 32
7 28 99
7 72 6
10 49 37
7 48 88
10 5 23
5 30 9
2 28 24
8 51 54
4 25 10
4 47 64
8 38 1
7 21 27
5 52 13
6 32 9
7 72 54
4 44 13
2 14 9
8 59 29
5 43 64
2 16 25
7 17 85
8 50 70
3 31 6
6 38 48
7 9 74
2 31 6
7 63 42
4 47 35
5 41 5
10 35 5
2 2 64
7 27 12
5 26 50
5 21 39
10 20 25
8 20 42
7 47 71
7 73 84
2 6 12
3 15 31
5 59 8
8 55 79
2 4 18
8 29 11
2 34 13
4 65 43
7 51 99
7 46 27
5 38 25
4 41 39
4 16 16
7 40 22
3 24 87
5 12 2
1 26 38
7 50 63
10 31 28
10 7 37
3 4 7
6 33 29
10 40 36
7 78 60
2 30 78
4 4 36
1 7 4
5 60 43
5 9 28
1 47 64
8 51 9
7 87 25
4 41 46
8 51 76
5 48 66
8 82 13
7 82 61
5 54 27
7 90 9
4 32 21
4 21 63
1 18 68
1 4 27
4 36 12
3 22 85
8 41 30
5 35 28
7 85 28
8 12 57
5 53 64
7 19 61
1 23 44
7 43 99
7 33 69
2 17 21
10 15 22
2 29 71
4 15 34
3 21 8
1 23 7
2 24 42
4 13 47
8 70 29
5 17 26
3 22 50
8 6 49
5 68 32
4 40 31
8 41 79
8 65 25
3 21 58
1 30 3
1 25 4
2 24 24
4 45 26
10 26 29
7 44 28
5 35 25
2 27 16
5 32 41
6 15 20
2 28 62
2 1 2
4 54 55
1 26 68
4 8 19
7 76 86
2 11 32
3 24 50
7 68 30
5 6 66
4 54 20
3 5 81
4 55 36
4 49 45
2 17 51
5 45 34
8 48 78
10 48 4
2 17 56
10 9 27
3 16 18
5 57 12
8 10 46
7 53 92
6 34 3
6 28 25
5 18 72
1 21 39
2 6 64
5 24 12
3 32 62
10 15 13
5 70 43
1 4 59
1 14 32
2 3 67
3 18 13
4 62 69
7 56 37
3 18 71
2 30 70
8 81 33
10 37 35
1 36 18
1 1 8
8 3 23
8 49 37
1 34 3
10 54 44
3 21 53
6 24 17
10 13 35
7 61 28
5 17 2
7 27 86
10 7 2
7 16 64
4 22 29
3 18 68
7 49 20
4 12 28
10 47 4
2 14 46
8 57 68
5 10 6
8 42 60
4 46 66
4 31 48
4 56 56
8 35 59
3 17 60
8 34 5
3 9 72
7 13 42
1 47 33
2 40 58
10 41 2
8 16 56
7 10 18
10 29 42
7 40 43
6 13 29
7 10 22
6 8 5
1 25 19
7 36 84
8 14 26
2 12 73
8 79 80
7 17 97
5 69 52
5 60 68
2 7 1
10 40 29
4 55 27
7 20 53
10 16 7
7 3 82
7 70 24
2 33 31
2 20 21
7 37 67
8 27 10
5 15 72
4 62 62
6 36 36
7 32 40
5 40 79
7 15 25
2 6 11
4 55 45
3 28 51
7 89 41
7 70 18
2 24 29
5 67 57
7 4 85
7 57 26
1 29 68
8 12 38
7 76 72
8 52 77
5 69 70
3 27 36
7 77 59
8 31 3
8 6 16
10 58 15
1 39 13
2 28 47
4 33 1
7 76 59
5 48 6
5 30 18
5 54 2
4 54 6
4 65 54
2 17 52
7 16 80
1 19 54
8 29 68
8 16 27
7 14 46
2 22 3
10 50 1
7 11 41
4 68 11
5 50 28
1 10 62
2 5 34
3 17 21
10 4 12
1 28 61
5 38 19
8 46 46
8 45 12
1 46 3
8 33 27
7 66 20
8 76 76
7 25 80
5 39 29
8 1 5
3 26 14
7 13 75
1 41 39
8 74 80
10 32 42
5 39 47
4 51 10
8 23 59
6 32 32
3 4 64
4 43 55
6 11 44
5 34 60
7 73 48
7 76 65
10 5 34
2 32 31
6 32 3
8 46 11
10 24 24
5 44 71
5 7 69
4 25 58
3 8 4
4 33 17
1 46 52
7 79 42
7 10 26
7 20 14
8 54 47
1 6 46
3 10 20
4 48 50
6 21 23
10 8 36
4 29 21
10 40 16
5 35 59
8 78 41
2 10 19
4 30 5
7 56 3
5 18 30
8 3 22
4 54 61
1 40 40
5 14 40
8 65 38
4 13 37
7 69 73
8 32 26
10 37 8
3 17 81
1 6 17
4 7 67
7 75 27
10 5 22
5 63 44
6 29 26
1 12 3
4 24 57
1 29 61
8 65 30
7 19 68
3 18 66
4 36 36
5 2 29
5 43 79
7 55 22
2 28 74
4 9 44
7 69 94
1 31 20
10 23 37
5 14 43
7 14 9
4 9 68
5 48 15
7 74 71
5 36 22
8 32 40
4 47 28
2 24 9
4 58 37
8 60 40
3 34 1
5 22 54
3 4 61
3 13 77
2 10 52
4 33 45
7 76 30
1 37 3
2 37 68
7 44 62
7 72 26
5 11 23
5 43 78
8 68 30
4 57 41
8 36 69
8 24 63
7 54 59
8 16 11
10 17 24
3 10 56
8 56 15
10 41 29
7 82 86
5 62 2
3 17 83
8 39 38
7 68 23
10 39 9
7 62 15
5 11 41
1 25 56
1 9 38
10 27 41
5 17 11
1 50 9
10 33 29
7 59 26
4 25 56
10 33 36
10 22 36
8 83 55
5 57 77
4 52 27
6 9 41
3 35 85
2 33 41
4 18 42
8 47 57
8 73 18
4 40 51
8 66 28
1 28 53
7 77 80
6 4 11
2 23 71
7 85 45
8 71 27
7 3 81
5 47 8
3 18 77
1 48 20
1 37 5
5 65 48
7 33 54
7 53 15
4 60 47
3 17 14
8 40 80
10 59 13
1 31 17
8 14 42
8 84 6
3 7 19
2 23 70
7 32 67
7 81 17
7 89 48
7 57 16
1 33 10
1 50 5
4 37 66
7 3 76
5 47 63
7 55 92
2 19 40
1 21 58
7 88 97
1 13 70
4 47 12
7 42 87
5 62 52
3 6 25
5 8 69
8 45 52
1 1 62
3 31 88
5 39 60
7 9 57
6 29 17
5 31 28
2 17 24
3 2 33
7 59 74
8 52 41
8 18 35
8 51 26
8 6 19
10 42 10
4 27 35
4 44 68
7 79 57
4 46 42
7 15 32
3 1 19
7 79 86
3 34 23
8 41 61
6 13 15
4 26 64
4 29 8
8 84 48
2 32 54
7 25 58
5 42 6
8 56 62
3 9 48
5 31 4
7 22 11
10 6 22
8 9 34
3 34 83
2 40 34
7 24 51
8 4 13
5 45 6
3 25 84
1 36 27
6 28 35
3 17 50
1 28 18
8 14 74
4 41 6
4 70 13
7 70 87
7 47 48
7 78 56
8 71 64
8 16 58
8 48 6
2 14 76
8 19 8
10 17 37
5 24 74
1 43 17
10 16 15
4 32 38
4 3 41
4 27 66
7 30 36
7 66 57
7 21 91
8 57 18
5 62 79
4 53 47
5 26 44
7 49 31
7 68 41
8 8 79
1 44 29
6 33 20
1 17 39
7 33 46
8 20 13
1 4 64
10 6 26
5 4 44
4 59 21
6 23 42
7 54 92
3 24 84
5 44 31
4 18 14
10 33 9
3 14 3
3 34 77
6 42 39
1 24 54
8 82 22
7 8 96
7 70 94
10 44 12
8 68 60
7 7 93
4 69 20
7 83 74
5 9 63
8 62 56
7 53 58
1 46 31
2 25 35
2 32 51
3 4 83
7 22 96
8 66 29
5 45 62
1 25 49
6 14 2
5 8 4
4 19 24
3 16 34
10 32 34
8 42 51
6 9 29
8 54 10
8 85 79
8 75 37
9 10 6
2 9 22
8 74 52
3 27 19
5 13 65
6 10 44
7 70 1
7 46 79
8 21 30
6 27 16
8 46 67
7 32 62
1 37 62
2 6 46
1 12 41
10 29 31
4 38 1
5 31 8
4 27 47
1 41 37
8 7 63
2 32 72
4 52 51
5 20 56
3 25 65
1 31 67
5 37 10
4 25 27
7 23 86
4 56 29
3 34 88
3 28 50
5 62 75
3 12 65
8 11 8
10 50 2
2 2 8
7 64 22
3 23 65
8 47 32
7 49 23
1 49 5
5 40 4
5 66 35
10 32 16
7 74 3
2 35 24
4 32 65
10 36 5
7 27 69
7 13 90
7 6 41
3 30 5
5 42 5
7 32 47
1 36 69
8 42 39
1 34 11
7 39 48
4 27 16
7 4 38
7 19 69
3 34 72
7 30 89
4 2 20
5 8 14
1 31 33
1 18 63
8 22 10
10 15 29
6 18 35
10 22 11
3 20 88
7 62 86
2 8 38
7 42 27
2 37 21
3 31 38
7 7 75
3 11 16
8 5 80
5 25 2
3 23 31
7 2 71
1 1 32
8 82 18
5 35 50
7 68 16
8 33 78
4 28 25
7 76 50
4 26 51
8 21 68
10 56 10
4 35 13
10 58 12
7 1 17
7 65 95
1 28 67
7 48 79
2 32 17
2 35 16
10 11 27
6 14 22
7 44 60
1 43 20
7 50 78
5 6 51
7 8 75
3 24 12
5 37 45
8 59 22
8 31 9
8 30 63
7 63 65
8 38 31
5 2 73
5 66 20
1 45 37
1 37 30
10 2 6
8 64 20
5 17 65
5 8 29
7 54 98
7 37 43
5 30 23
10 23 27
8 11 50
5 53 62
7 59 56
9 17 12
7 32 89
3 20 59
5 1 15
8 12 74
5 39 9
7 74 20
7 26 41
4 31 25
8 64 5
10 55 6
5 12 39
8 58 38
2 40 61
7 48 56
8 72 25
4 13 34
10 32 21
1 4 21
4 61 14
8 9 27
4 41 25
2 4 75
4 23 69
1 48 68
5 56 57
2 14 32
6 18 22
10 40 4
2 12 22
7 47 42
5 52 28
8 77 37
5 37 5
1 50 56
4 64 57
8 17 63
2 12 58
4 15 37
2 23 31
4 8 17
1 29 21
8 4 1
5 23 20
10 50 38
5 50 52
2 15 24
7 81 67
8 13 17
6 9 46
4 3 39
4 58 56
3 25 44
10 30 4
3 2 10
7 83 25
1 49 61
4 65 8
5 55 10
7 60 100
7 45 12
7 13 45
6 6 16
1 13 55
1 32 8
6 29 1
4 9 39
7 88 50
8 20 44
5 45 75
2 39 8
8 35 26
5 25 44
5 69 41
8 7 35
8 76 34
4 67 52
5 15 10
7 12 76
7 38 45
8 61 58
8 35 20
7 55 48
4 56 51
10 38 44
3 34 66
5 24 26
7 27 84
4 65 61
5 63 66
4 29 29
5 31 3
7 67 28
1 35 4
5 36 21
7 33 57
4 51 33
5 22 18
5 53 63
8 20 49
4 69 16
8 53 40
1 43 47
5 59 15
4 34 68
4 48 66
7 33 70
1 34 36
10 33 14
8 17 21
1 31 53
8 59 74
8 17 57
6 3 45
1 9 39
7 69 92
8 70 56
10 30 22
6 22 39
5 56 2
8 55 16
7 49 24
1 41 21
4 37 50
8 4 63
8 54 75
8 61 44
8 58 9
4 46 36
1 27 14
2 9 3
8 45 64
8 30 5
6 2 17
8 22 43
3 7 32
3 8 68
3 9 24
5 70 39
4 28 14
7 57 58
7 71 21
6 27 37
5 56 37
7 69 41
2 33 67
8 53 68
1 47 10
4 35 26
6 35 42
8 39 21
8 32 55
1 32 50
4 9 45
3 31 22
4 15 12
7 11 25
7 27 96
3 33 44
6 32 31
1 26 31
7 16 95
8 53 70
5 26 60
3 13 82
6 18 2
5 28 53
7 59 14
10 27 6
1 11 28
1 27 32
7 88 94
8 73 69
4 13 16
5 50 80
6 35 32
1 30 53
5 6 38
8 44 5
4 21 56
7 70 33
4 20 62
1 18 46
3 35 62
4 21 46
1 5 36
3 23 39
5 39 38
6 26 28
2 36 17
5 19 32
3 4 32
1 26 18
3 28 69
7 44 48
4 66 67
8 71 6
4 58 10
7 14 100
8 14 21
7 78 83
2 22 55
5 17 3
7 37 88
1 12 64
9 23 6
7 67 8
8 73 6
1 50 63
7 22 67
4 18 38
3 22 59
7 52 48
1 45 3
3 35 21
8 16 15
1 31 45
4 70 24
4 44 10
3 2 69
8 42 20
4 14 29
8 82 74
7 82 36
5 25 29
7 89 95
5 24 67
4 45 38
4 6 35
3 3 86
8 64 49
8 7 39
6 2 49
4 35 29
2 37 44
2 36 62
3 10 7
4 56 67
5 68 37
10 46 38
8 61 37
4 69 63
3 21 17
8 31 78
5 44 54
5 39 13
4 45 67
10 29 12
7 17 44
5 18 56
4 58 55
10 49 12
3 7 65
1 38 63
8 12 26
1 31 19
1 4 9
7 57 74
4 66 47
5 47 42
2 21 4
4 70 54
1 23 69
5 49 51
8 38 52
8 81 74
7 33 53
10 15 21
1 47 8
4 67 41
3 33 77
2 7 28
8 4 10
8 84 52
7 44 3
5 34 24
7 32 52
8 81 26
7 21 58
7 12 96
3 24 46
1 44 45
1 40 7
3 11 78
4 56 18
7 73 37
10 9 21
10 34 29
7 88 75
5 50 3
7 12 95
5 70 17
8 72 79
8 50 10
7 80 42
4 59 22
4 51 20
6 6 47
1 42 5
7 43 75
1 11 49
6 30 36
7 55 16
7 40 81
4 66 42
2 25 12
7 35 70
5 51 50
4 27 65
7 30 16
2 13 64
4 46 16
8 41 47
4 67 22
5 43 58
5 29 12
8 78 1
4 49 39
7 44 68
5 19 43
3 16 68
1 21 37
9 26 16
8 23 39
10 32 9
10 59 34
4 52 18
10 59 4
7 59 52
1 45 56
2 31 1
7 61 36
1 37 15
7 19 20
7 81 63
3 31 57
7 86 14
7 12 86
4 64 6
8 47 4
7 8 23
7 72 70
5 30 54
5 60 49
1 32 70
3 10 5
2 9 78
3 25 20
7 59 96
7 37 68
8 85 49
7 2 83
2 26 65
5 57 27
3 15 41
2 2 31
10 37 25
1 2 26
1 47 69
7 2 19
2 32 77
8 68 54
8 21 15
8 71 28
1 11 15
4 22 3
1 18 35
7 16 20
6 38 49
8 42 1
5 9 6
1 2 37
5 49 76
6 36 31
1 25 23
1 33 66
8 23 62
8 5 77
2 8 74
7 6 85
5 24 29
5 53 1
4 41 2
8 12 60
5 48 69
3 24 5
7 33 1
8 57 19
2 30 56
6 33 39
4 26 29
5 40 43
4 21 25
7 75 77
10 56 22
7 25 27
1 31 61
4 57 2
10 29 43
4 14 63
5 65 16
10 57 9
7 14 12
4 45 60
8 63 44
3 33 70
7 29 2
2 40 32
3 14 90
5 11 35
8 1 14
5 45 8
3 16 63
3 10 64
8 74 31
8 28 52
5 27 9
8 25 46
5 15 57
7 70 62
10 35 33
4 3 63
10 57 40
7 72 72
1 15 40
7 58 27
2 10 22
8 63 36
2 38 4
4 51 40
1 37 59
8 22 21
2 8 15
7 73 72
7 51 77
6 4 29
7 30 93
3 5 17
3 3 2
1 13 66
1 5 62
8 15 58
4 17 3
3 14 11
8 77 59
4 1 10
4 31 36
7 40 53
1 22 37
6 6 4
5 21 59
2 12 54
10 1 11
1 49 24
6 2 21
3 7 15
7 80 13
7 36 71
8 3 76
4 35 1
3 1 36
7 58 17
8 14 9
6 45 12
7 10 80
1 48 34
5 11 13
8 13 33
1 39 32
1 13 38
3 3 19
7 67 84
5 64 58
4 3 50
2 31 3
8 36 29
10 35 25
7 52 9
3 10 61
1 44 2
8 11 28
8 25 60
2 21 20
1 50 48
1 7 6
4 38 7
5 20 50
7 12 18
10 35 13
3 22 32
5 29 54
7 52 84
4 14 65
5 60 80
7 41 28
3 18 22
7 58 49
7 80 88
7 41 62
7 71 48
6 17 4
2 15 29
8 44 15
2 26 25
3 19 51
7 50 84
6 8 16
2 9 67
7 21 6
2 35 50
4 60 51
3 11 89
8 85 16
7 45 71
8 6 37
4 9 4
5 53 68
3 23 51
2 22 33
7 6 96
7 7 50
8 44 75
5 38 43
5 46 72
3 15 71
5 27 71
6 23 19
6 17 33
2 2 45
7 46 9
8 16 55
6 16 45
5 39 18
5 28 6
10 49 3
1 36 35
8 52 28
5 6 70
10 59 26
3 8 58
7 61 96
10 32 1
7 68 27
7 28 19
8 27 69
2 40 64
5 66 32
8 25 56
4 16 62
3 5 87
7 67 98
5 36 13
10 33 43
4 58 9
7 65 76
3 18 39
1 37 33
3 5 43
6 24 1
2 30 51
2 40 71
2 30 40
1 1 24
7 5 50
4 36 57
4 11 51
1 50 49
1 14 66
4 69 13
6 3 9
7 10 79
6 5 38
5 64 5
6 12 27
6 8 47
10 30 44
7 4 75
10 1 27
7 75 5
8 31 10
1 48 5
4 50 31
8 80 45
8 43 49
7 86 89
5 44 18
1 41 56
3 27 58
7 22 7
8 11 78
10 8 20
3 34 56
1 33 41
10 60 8
4 40 16
4 69 39
5 5 62
1 38 53
4 20 26
4 40 65
7 73 38
1 45 21
7 38 6
5 16 43
7 58 74
10 10 24
3 7 37
5 35 54
7 65 15
4 35 66
2 10 21
2 28 17
7 76 37
7 13 15
4 9 25
3 13 69
8 72 8
5 18 3
2 24 3
5 25 21
4 29 42
2 5 79
10 19 5
4 63 59
8 78 62
7 19 16
7 43 45
1 1 40
5 21 17
4 29 20
5 37 32
6 16 18
7 54 89
7 51 93
10 42 45
6 31 30
5 11 56
8 57 42
8 69 13
1 47 23
7 54 23
1 10 60
1 45 51
4 51 27
1 49 8
1 23 31
5 18 39
3 10 12
1 43 35
4 54 57
6 12 42
5 31 31
7 37 70
5 27 45
4 35 20
5 30 58
2 40 28
5 58 15
7 81 87
8 85 18
3 6 66
5 1 54
4 68 54
8 3 42
7 6 15
8 58 46
2 37 11
2 12 60
2 10 63
3 25 86
7 62 61
4 42 55
2 7 61
6 12 25
2 31 38
8 27 62
2 22 50
5 50 59
7 40 59
7 81 83
4 70 16
10 14 34
3 25 1
4 62 34
3 32 21
5 62 39
5 51 73
1 2 28
4 25 15
1 49 3
5 24 61
4 50 25
3 6 42
8 5 47
8 63 31
8 24 61
4 55 64
6 34 23
7 3 56
8 46 74
8 80 37
8 22 3
6 44 39
3 25 36
4 56 32
5 24 65
4 18 46
7 30 82
7 14 92
4 36 37
7 61 31
2 14 28
5 19 29
8 8 57
7 60 50
4 28 61
4 68 34
3 7 2
3 19 59
2 9 53
2 3 58
7 66 4
7 24 95
8 7 65
3 13 63
6 14 30
5 38 42
7 52 13
7 79 7
8 29 78
1 32 37
8 22 6
2 1 13
10 16 25
8 43 28
5 52 55
2 34 5
7 11 51
4 54 40
4 69 19
7 87 37
6 17 13
7 13 58
5 70 22
7 48 55
7 14 21
2 14 6
8 80 25
3 10 31
8 7 46
5 52 71
5 57 33
7 23 18
4 57 40
8 84 28
7 47 46
7 35 32
7 12 100
8 74 2
5 9 80
8 59 45
5 16 2
5 5 33
5 41 53
3 3 12
1 18 45
2 18 73
6 29 50
2 36 46
5 39 66
1 9 34
4 8 2
1 10 37
8 67 56
7 62 20
7 74 4
7 42 59
8 76 53
7 65 23
5 20 74
5 27 50
5 1 49
10 53 20
3 20 70
10 34 30
5 1 3
7 64 93
10 50 41
1 16 39
2 6 58
7 23 38
4 32 69
4 22 66
4 25 25
3 20 38
5 58 7
2 14 63
1 30 65
5 61 52
7 83 80
3 5 90
7 65 24
4 47 63
4 14 58
8 51 64
2 6 18
4 47 3
3 7 69
8 40 44
7 47 59
7 36 4
7 2 90
2 2 51
3 27 89
3 34 80
2 3 57
8 27 76
7 23 61
5 58 53
4 23 14
5 70 4
8 84 33
10 6 2
5 43 11
5 10 66
4 15 8
5 2 68
6 42 2
1 28 66
8 47 59
7 36 45
8 25 44
4 12 15
5 45 44
1 45 19
3 9 59
7 2 88
8 50 47
5 21 9
10 34 36
7 17 1
5 21 63
4 23 37
1 24 26
10 51 4
10 25 12
1 46 12
1 27 15
10 15 28
5 18 53
5 14 11
10 19 18
8 66 30
10 49 45
3 17 31
2 22 73
6 34 14
8 40 23
8 77 57
7 85 13
7 58 55
8 57 65
2 5 11
4 35 51
6 16 8
5 15 59
8 72 19
7 79 32
1 46 6
7 79 20
2 5 66
7 42 92
1 7 65
4 59 26
4 61 68
5 9 14
2 21 26
10 54 34
4 3 22
6 30 13
4 65 34
1 21 13
2 29 65
8 39 60
2 20 59
7 85 49
4 62 23
2 40 1
2 6 43
6 15 4
1 1 66
7 19 53
8 26 79
8 71 5
7 70 3
6 14 32
5 3 48
10 36 20
8 21 50
2 31 12
5 20 38
6 4 21
2 34 48
2 29 27
3 34 48
10 29 9
5 6 28
7 67 4
8 72 65
7 46 95
2 34 71
7 47 81
1 16 22
1 15 50
7 16 71
4 1 24
3 17 12
8 45 32
8 76 73
5 64 69
5 64 70
5 25 50
7 70 2
5 39 61
8 35 60
2 34 20
10 55 33
8 26 9
4 5 54
2 7 76
1 8 70
5 17 31
7 24 1
2 20 19
5 44 23
4 59 69
4 5 24
7 61 82
3 35 64
5 61 31
9 28 3
5 34 10
7 26 72
7 17 14
2 20 48
4 10 46
8 43 58
5 23 2
7 75 13
5 33 78
7 83 30
4 31 64
2 36 72
7 34 48
8 75 72
7 28 41
8 52 52
7 7 19
7 68 50
1 48 32
7 1 94
7 7 11
7 42 25
2 11 16
1 4 24
2 35 31
8 51 11
2 18 75
5 58 61
5 46 23
4 41 67
3 2 81
8 33 11
8 16 9
6 37 32
5 66 14
10 11 22
1 16 25
7 14 51
7 33 2
7 48 36
2 40 25
6 38 31
7 52 77
7 18 16
8 31 68
4 20 7
7 79 56
7 25 68
7 47 29
1 23 4
1 39 68
1 10 69
6 39 33
6 40 41
5 3 52
5 48 39
8 22 62
4 53 10
1 47 28
4 43 15
7 58 42
10 24 9
2 35 2
7 3 3
4 60 38
7 80 58
5 10 11
10 4 23
3 27 73
2 32 44
4 61 5
3 11 79
4 50 50
7 38 36
1 2 60
8 56 30
10 27 42
8 4 31
8 59 57
4 44 20
7 18 51
3 10 45
1 43 41
5 40 70
7 78 32
8 37 10
7 33 34
4 13 30
8 55 27
1 36 57
2 26 70
2 23 29
8 83 4
10 22 22
1 27 12
2 19 1
3 25 34
7 82 100
7 15 37
8 2 23
8 70 36
7 87 67
2 35 35
10 24 25
10 28 9
5 14 20
3 20 73
7 23 91
7 3 43
7 70 100
7 8 10
5 4 55
5 11 46
1 16 18
5 5 5
2 35 7
4 3 11
5 27 69
6 2 37
7 73 14
4 45 61
8 13 23
7 58 25
4 31 20
7 51 4
7 24 83
1 8 35
5 26 3
6 12 32
8 6 32
10 47 16
7 85 98
5 32 35
6 8 26
5 12 45
7 6 100
7 84 10
6 9 11
10 16 42
3 2 50
1 39 1
2 19 60
1 1 43
5 70 37
4 43 34
5 44 58
5 39 12
4 19 68
7 68 73
1 7 7
8 7 54
10 55 19
10 15 2
7 49 26
7 70 26
1 33 38
7 20 41
2 26 14
1 8 32
2 38 64
7 18 28
10 50 42
10 24 20
7 60 13
3 4 82
8 49 78
1 4 50
7 74 91
4 23 29
4 41 68
1 26 43
4 17 51
5 65 65
3 26 37
1 18 34
1 23 51
1 49 69
4 23 57
5 25 26
8 62 58
5 9 76
5 63 31
10 59 37
3 18 8
6 35 28
7 24 90
1 34 41
7 20 71
8 10 8
8 69 19
4 33 58
2 19 49
8 74 60
7 85 25
5 27 70
3 7 3
8 80 80
8 18 26
10 56 41
8 8 27
10 7 31
1 27 54
1 22 19
8 79 17
7 2 3
2 29 64
2 3 20
5 57 67
4 7 19
10 3 7
5 29 56
2 24 70
5 9 37
6 28 34
8 84 21
10 56 24
3 35 60
8 84 61
8 79 75
4 63 25
8 58 22
6 9 16
7 25 54
8 3 9
4 29 61
8 7 75
7 72 69
3 13 10
10 3 28
2 31 4
10 20 10
2 20 55
8 65 57
4 56 42
8 21 42
2 39 9
7 50 49
5 62 13
5 32 49
8 39 11
7 73 4
1 28 10
8 68 34
5 54 50
8 56 40
8 75 56
8 69 64
8 34 32
5 17 80
8 37 8
4 25 12
5 19 67
7 59 77
7 35 46
8 3 43
4 23 43
5 40 61
1 44 1
8 22 33
4 19 46
10 37 41
7 48 62
4 15 46
5 48 54
8 14 60
4 10 58
8 5 50
8 12 27
3 31 80
1 6 63
1 7 17
4 49 19
2 7 42
10 7 21
1 16 14
3 8 62
5 11 10
10 58 3
4 45 14
2 7 33
5 44 13
6 11 42
7 14 67
2 8 24
7 68 71
2 37 59
4 32 70
4 56 1
3 32 87
7 69 35
4 56 20
3 1 2
7 47 95
3 11 1
5 55 9
7 54 93
4 58 67
5 65 6
5 20 80
7 59 78
4 67 53
8 21 14
8 83 12
8 29 21
7 79 88
7 90 24
8 4 36
3 10 28
3 1 23
6 30 42
4 4 66
3 31 64
4 13 70
2 40 7
7 69 6
1 44 25
5 13 23
1 44 68
5 46 42
7 34 37
4 13 55
8 27 15
5 30 34
7 47 86
1 41 17
8 77 67
8 9 53
7 13 43
3 26 8
1 30 2
7 60 23
5 29 4
3 2 65
10 13 38
10 29 40
7 89 6
5 5 40
4 62 28
6 39 13
7 2 42
7 79 10
5 29 28
5 10 30
7 50 16
4 21 15
2 24 2
4 67 29
9 16 25
5 31 77
7 11 79
4 35 25
10 8 12
5 18 23
1 7 41
1 42 33
5 29 48
8 50 1
7 2 47
4 17 23
10 39 15
4 48 34
1 10 32
4 59 37
8 14 79
6 45 24
3 13 9
4 33 43
5 39 59
4 17 10
1 29 36
2 21 5
4 30 42
2 14 12
1 4 53
3 19 19
7 62 26
4 34 23
8 65 71
8 18 80
10 47 43
8 16 4
8 63 42
7 68 26
5 18 63
5 38 21
1 40 67
8 17 2
3 14 17
5 15 7
3 14 5
5 64 14
10 37 33
7 77 100
8 57 63
8 51 34
7 13 30
7 22 26
10 58 26
7 50 30
3 32 25
7 31 24
2 14 25
6 10 41
8 73 70
5 5 20
3 31 69
8 53 65
10 47 30
8 66 58
8 5 17
7 72 23
10 23 44
3 1 73
5 23 71
6 20 49
7 68 95
7 7 64
2 27 48
7 83 82
2 13 70
7 12 8
4 30 64
2 24 61
4 42 61
5 41 14
1 18 16
10 4 10
7 67 6
7 47 70
2 33 44
4 66 69
8 3 63
5 55 33
1 17 31
8 73 1
4 2 1
10 10 5
7 68 64
4 9 36
7 36 95
5 18 24
3 29 19
6 13 36
6 8 50
1 18 44
2 20 11
4 31 62
7 65 93
8 17 36
7 57 66
4 36 21
1 11 23
3 16 33
8 28 61
7 83 92
1 38 36
4 56 31
2 9 55
8 63 69
10 43 27
8 10 25
7 32 98
4 55 60
1 45 35
7 84 76
2 8 29
6 37 40
8 63 30
7 4 93
7 86 63
1 47 27
3 35 83
5 59 27
2 27 37
8 9 28
7 19 90
2 36 78
5 16 35
1 50 31
8 7 19
1 30 44
4 5 20
1 31 25
7 8 20
7 34 24
8 30 39
7 87 1
2 5 60
3 35 87
5 53 71
3 30 38
3 18 35
2 26 35
5 66 28
8 22 65
10 55 14
5 27 27
2 32 22
3 10 55
5 13 36
7 88 41
7 88 83
5 35 33
1 24 13
4 63 70
8 70 9
7 49 86
5 12 15
5 32 60
5 2 2
3 17 61
7 40 79
8 56 21
2 12 9
2 3 60
3 21 60
2 22 72
4 43 29
7 7 26
8 45 56
3 11 6
3 4 2
7 4 54
5 58 80
7 20 44
8 17 31
7 69 69
6 31 12
3 16 57
8 64 35
3 15 62
2 25 28
1 29 50
7 20 32
5 52 43
4 43 60
7 17 69
7 41 39
1 17 70
7 29 92
8 68 28
5 50 78
5 19 55
7 81 79
8 55 34
7 26 84
2 38 19
3 29 3
5 51 1
2 34 25
7 5 94
10 30 35
2 40 40
4 29 57
4 35 56
1 41 51
3 9 25
10 2 39
5 52 42
2 31 18
4 41 16
10 34 27
7 59 20
1 35 3
10 1 12
7 30 3
7 40 38
5 65 20
7 57 37
5 66 29
8 17 66
4 59 12
4 16 63
1 46 61
3 10 36
8 51 10
